feature,importance
cosSZA,0.19263768
solar_elevation,0.17446055
hour_angle_deg,0.13989832
solar_time_hr,0.11586431
SZA_deg,0.08043972
solar_declination_deg,0.046914272
EoT_min,0.03756125
sunset_flag,0.0211024
w_forecast,0.018862784
O3_forecast,0.014919318
NO2_forecast,0.013373601
sin_hour,0.013101562
NO2_satellite_filled,0.012695855
O3_forecast_per_blh,0.011515598
HCHO_satellite_filled,0.011484541
NO2_forecast_per_blh,0.00958921
q_forecast,0.009423019
T_forecast,0.008849805
ratio_satellite,0.008407317
wind_sector,0.008308378
