feature,importance
NO2_target_lag1,0.31588674
NO2_roll3,0.112253256
NO2_target_lag2,0.09238369
O3_target_lag6,0.0341008
sin_hour,0.033406746
NO2_roll6,0.023235904
hour_sin,0.022826875
O3_target_lag3,0.022532199
SZA_deg,0.019958703
solar_elevation,0.017862817
cosSZA,0.01773945
solar_declination_deg,0.016657129
season,0.016541533
hour_angle_deg,0.016162846
NO2_target_lag3,0.013722277
solar_time_hr,0.012905242
O3_roll6,0.011738851
cos_hour,0.010994228
O3_roll3,0.010993364
O3_target_lag1,0.010555953
