feature,importance
solar_elevation,0.14596947
hour_angle_deg,0.129218
solar_time_hr,0.09604052
solar_declination_deg,0.08212671
cosSZA,0.06889124
SZA_deg,0.06185875
EoT_min,0.03992012
w_forecast,0.03223351
NO2_forecast,0.025860574
NO2_forecast_per_blh,0.025202526
NO2_satellite_filled,0.025089033
O3_forecast,0.024767067
HCHO_satellite_filled,0.024033634
sin_hour,0.019594418
q_forecast,0.019158896
ratio_satellite,0.017068492
O3_forecast_per_blh,0.016680991
T_forecast,0.016580306
blh_forecast,0.01612358
wind_sector,0.016071675
