feature,importance
solar_elevation,0.11041703
solar_declination_deg,0.09509511
sin_hour,0.09078095
cosSZA,0.060965072
SZA_deg,0.060580853
EoT_min,0.06026897
hour_angle_deg,0.05506842
O3_forecast,0.041577883
NO2_forecast_per_blh,0.04119008
solar_time_hr,0.034316067
w_forecast,0.03131375
NO2_satellite_filled,0.029091852
HCHO_satellite_filled,0.02864681
NO2_forecast,0.027431525
wind_sector,0.025503062
q_forecast,0.02375475
ratio_satellite,0.0215038
T_forecast,0.019078957
cos_hour,0.018631432
u_forecast,0.017580358
