feature,importance
solar_elevation,0.17718787
hour_angle_deg,0.17599125
solar_time_hr,0.14600545
SZA_deg,0.11054118
cosSZA,0.056076404
EoT_min,0.04135154
solar_declination_deg,0.03625074
NO2_forecast_per_blh,0.019779881
sunset_flag,0.018709313
sin_hour,0.017229287
O3_forecast,0.016531888
NO2_forecast,0.016249467
HCHO_satellite_filled,0.0151999025
wind_sector,0.014307085
NO2_satellite_filled,0.013054232
w_forecast,0.012847381
q_forecast,0.012583466
ratio_satellite,0.011242148
u_forecast,0.010979633
O3_forecast_per_blh,0.010596656
