feature,importance
solar_declination_deg,0.11457329
sin_hour,0.10340425
solar_elevation,0.08620234
EoT_min,0.07979039
SZA_deg,0.058662474
NO2_forecast_per_blh,0.05044149
cosSZA,0.049126107
hour_angle_deg,0.040787093
NO2_satellite_filled,0.037895605
NO2_forecast,0.03631191
w_forecast,0.034306962
O3_forecast,0.031802714
q_forecast,0.026804581
solar_time_hr,0.026241668
HCHO_satellite_filled,0.02390873
T_forecast,0.021867177
cos_hour,0.021407919
ratio_satellite,0.02016427
blh_forecast,0.01910761
O3_forecast_per_blh,0.017834762
