feature,importance
solar_elevation,0.19211572
hour_angle_deg,0.11653672
SZA_deg,0.093056686
solar_time_hr,0.09057992
NO2_forecast_per_blh,0.07104813
solar_declination_deg,0.052390207
EoT_min,0.04675887
cosSZA,0.042718038
blh_forecast,0.02875021
w_forecast,0.027652944
NO2_forecast,0.02661589
O3_forecast,0.024495762
q_forecast,0.017812086
NO2_satellite_filled,0.017457474
sin_hour,0.016992113
ratio_satellite,0.014529746
HCHO_satellite_filled,0.013958463
T_forecast,0.01350442
O3_forecast_per_blh,0.012844549
u_forecast,0.012167633
