feature,importance
solar_elevation,0.17743647
hour_angle_deg,0.17363344
cosSZA,0.15046085
solar_time_hr,0.14416905
SZA_deg,0.09797389
solar_declination_deg,0.040265664
EoT_min,0.033876527
HCHO_satellite_filled,0.013126521
sin_hour,0.01282665
w_forecast,0.0124350535
NO2_satellite_filled,0.01165469
NO2_forecast,0.010538322
q_forecast,0.010059584
ratio_satellite,0.009358369
NO2_forecast_per_blh,0.009238486
T_forecast,0.008838702
wind_sector,0.008568131
wind_dir_deg,0.008491856
O3_forecast,0.008453075
blh_forecast,0.008431981
