feature,importance
solar_declination_deg,0.12098639
hour_angle_deg,0.10567881
sin_hour,0.07570278
solar_elevation,0.07551787
SZA_deg,0.068411976
EoT_min,0.067580864
solar_time_hr,0.0636454
NO2_satellite_filled,0.05377093
w_forecast,0.038403027
cosSZA,0.030966071
NO2_forecast,0.0285062
HCHO_satellite_filled,0.026472555
q_forecast,0.023924107
NO2_forecast_per_blh,0.022095304
O3_forecast_per_blh,0.020772098
O3_forecast,0.019770738
ratio_satellite,0.01894029
blh_forecast,0.016960815
T_forecast,0.01670642
u_forecast,0.01657244
