feature,importance
O3_roll3,0.19937155
O3_target_lag1,0.17599477
solar_time_hr,0.09971805
sin_hour,0.08045295
hour_angle_deg,0.07692071
hour_sin,0.06430042
O3_target_lag2,0.052006852
hour,0.02307541
O3_target_lag3,0.022103451
O3_roll6,0.015673744
SZA_deg,0.015098024
NO2_target_lag1,0.013596141
solar_elevation,0.012357474
month_cos,0.0119075
NO2_target_lag3,0.01070352
month_sin,0.0095062805
cosSZA,0.007387487
solar_declination_deg,0.0062911934
NO2_target_lag2,0.005463864
O3_target_lag12,0.004890114
