feature,importance
solar_time_hr,0.19455181
hour_angle_deg,0.18560903
cosSZA,0.15495652
sunset_flag,0.10631751
solar_elevation,0.05501791
solar_declination_deg,0.04099706
EoT_min,0.03276892
SZA_deg,0.029791746
HCHO_satellite_filled,0.01617373
w_forecast,0.015153057
NO2_forecast_per_blh,0.013712893
q_forecast,0.011995614
sin_hour,0.011596899
NO2_satellite_filled,0.011407751
T_forecast,0.010720808
O3_forecast_per_blh,0.010559101
blh_forecast,0.010414454
NO2_forecast,0.010406627
O3_forecast,0.009911196
ratio_satellite,0.0092213405
