feature,importance
NO2_target_lag1,0.3425882
NO2_roll3,0.15133642
NO2_roll6,0.081478916
cosSZA,0.04974905
cos_hour,0.028211674
O3_target_lag3,0.026151532
SZA_deg,0.025877416
sin_hour,0.02245043
solar_time_hr,0.02153061
O3_target_lag2,0.020945476
NO2_target_lag2,0.017432267
solar_elevation,0.016915496
O3_target_lag6,0.015411918
NO2_target_lag3,0.014937376
hour_sin,0.013652669
O3_roll3,0.011980447
hour_angle_deg,0.009358628
O3_roll12,0.008097351
O3_target_lag1,0.007749252
NO2_forecast_per_blh,0.0076825405
