year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,blh_forecast,ratio_satellite,NO2_satellite_filled,HCHO_satellite_filled,NO2_forecast_per_blh,O3_forecast_per_blh,blh_delta_1h,blh_rel_change,sin_hour,cos_hour,wind_speed,wind_dir_deg,wind_sector,SZA_deg,cosSZA,solar_elevation,sunset_flag,solar_declination_deg,hour_angle_deg,solar_time_hr,EoT_min
2019.0,7.0,25.0,0.0,5.52,69.23,7.21,11.13,2.95,-2.48,7.34,77.73,,,,0.8906356537288854,0.0710141385032998,,,0.0,1.0,3.8539460297207073,310.05302640870025,7.0,131.36753370377355,-0.6608867134169656,-41.367533703773546,1.0,19.60245249236703,173.18906467347998,23.545937644898665,-6.181381306080062
2019.0,7.0,25.0,1.0,3.68,85.94,5.37,10.8,2.92,-2.19,7.14,28.57,,,,3.0079451191767874,0.1288019320289804,-49.16,0.3675496262752312,0.2588190451025207,0.9659258262890684,3.65,306.86989764584405,7.0,131.16956186436153,-0.6582896500154376,-41.169561864361526,1.0,19.60245249236703,-171.81093532652002,0.5459376448986655,-6.181381306080062
2019.0,7.0,25.0,2.0,1.84,102.65,6.25,10.48,2.89,-1.91,6.93,51.47,,,,1.994326902527637,0.0357482854422878,22.9,1.801477022155332,0.4999999999999999,0.8660254037844387,3.464130482530934,303.4607021398748,7.0,126.86222268807374,-0.5998928319908416,-36.86222268807374,1.0,19.60245249236703,-156.81093532652002,1.5459376448986657,-6.181381306080062
2019.0,7.0,25.0,3.0,0.0,119.35,7.4,10.16,2.86,-1.62,6.73,99.72,,,,1.1968391813158712,0.0,48.25,1.9374016436439936,0.7071067811865476,0.7071067811865476,3.286943869310822,299.52867183447984,7.0,119.31928204324424,-0.4896759059862491,-29.319282043244243,1.0,19.60245249236703,-141.81093532652002,2.545937644898665,-6.181381306080062
2019.0,7.0,25.0,4.0,0.01,102.39,5.1,10.28,2.51,-1.58,6.16,28.45,,,,3.5988190221784824,0.0003514814944993,-71.27,0.285295975772405,0.8660254037844386,0.5000000000000001,2.9658894112896386,302.1896792185239,7.0,109.58165800261747,-0.3351499733667908,-19.58165800261748,1.0,19.60245249236703,-126.81093532652002,3.545937644898665,-6.181381306080062
2019.0,7.0,25.0,5.0,0.03,85.44,8.93,10.4,2.16,-1.53,5.59,15.42,,,,5.540496725244796,0.001945399131055,-13.03,0.5419844645179431,0.9659258262890684,0.2588190451025207,2.646979410573494,305.3112134396332,7.0,98.44417545364928,-0.1468457210743052,-8.44417545364928,1.0,19.60245249236703,-111.81093532652002,4.5459376448986655,-6.181381306080062
2019.0,7.0,25.0,6.0,0.04,68.48,7.2,10.52,1.81,-1.48,5.02,18.64,,,,3.6736226597285553,0.0021458076283461,3.2200000000000006,1.2087413267622074,1.0,6.123233995736766e-17,2.33805474700658,309.2721646783946,7.0,86.42217640640641,0.0624042272849655,3.5778235935935925,0.0,19.60245249236703,-96.81093532652002,5.5459376448986655,-6.181381306080062
2019.0,7.0,25.0,7.0,0.04,76.65,10.85,10.21,1.81,-1.42,5.11,85.2,,,,0.8996373282003732,0.0004694780577692,66.56,4.570570248377233,0.9659258262890684,-0.2588190451025206,2.3005434140654684,308.1152619126124,7.0,73.83885425249994,0.2783398335322264,16.161145747500058,0.0,19.60245249236703,-81.81093532652002,6.5459376448986655,-6.181381306080062
2019.0,7.0,25.0,8.0,0.04,84.82,12.95,9.89,1.81,-1.36,5.21,128.83,,,,0.6583819111859722,0.0003104842778523,43.63000000000001,1.5120714545603926,0.8660254037844387,-0.4999999999999998,2.264000883392054,306.9205122788907,7.0,60.90589729199234,0.4862454429521887,29.094102708007654,0.0,19.60245249236703,-66.81093532652002,7.5459376448986655,-6.181381306080062
2019.0,7.0,25.0,9.0,0.05,93.0,7.99,9.58,1.81,-1.29,5.31,44.42,,,,2.0936043763085026,0.0011255937507034,-84.41000000000001,0.3447927905550682,0.7071067811865476,-0.7071067811865475,2.2226560687609767,305.4777449900748,7.0,47.782050670414165,0.6719526318431464,42.21794932958582,0.0,19.60245249236703,-51.81093532652003,8.545937644898665,-6.181381306080062
