feature,importance
solar_elevation,0.12352849
solar_declination_deg,0.10338767
hour_angle_deg,0.067855775
SZA_deg,0.067566015
EoT_min,0.065297835
sin_hour,0.06398392
cosSZA,0.061522834
solar_time_hr,0.04825247
w_forecast,0.042409305
HCHO_satellite_filled,0.029519144
NO2_forecast,0.028253704
q_forecast,0.026821613
NO2_forecast_per_blh,0.026466895
NO2_satellite_filled,0.022306807
blh_forecast,0.021391513
T_forecast,0.02039118
O3_forecast,0.020175288
ratio_satellite,0.020027004
wind_sector,0.019834505
O3_forecast_per_blh,0.018279985
