feature,importance
NO2_target_lag1,0.32082823
NO2_roll3,0.12325664
NO2_target_lag2,0.087485224
hour_cos,0.03599404
cosSZA,0.030060455
SZA_deg,0.029830657
cos_hour,0.027779205
NO2_roll6,0.024799798
solar_elevation,0.024158485
solar_time_hr,0.019726764
month_cos,0.017354816
O3_target_lag6,0.016104467
O3_roll6,0.015422166
hour_angle_deg,0.014390558
solar_declination_deg,0.013211126
NO2_roll12,0.012509959
NO2_target_lag3,0.011557694
O3_target_lag3,0.010896254
O3_roll3,0.010684224
NO2_target_lag12,0.009867957
