feature,importance
solar_elevation,0.20111576
hour_angle_deg,0.15620764
solar_time_hr,0.11309893
SZA_deg,0.10672936
cosSZA,0.07416834
solar_declination_deg,0.039815616
EoT_min,0.032674666
w_forecast,0.024550805
NO2_forecast_per_blh,0.021862768
sin_hour,0.01681903
ratio_satellite,0.016317936
O3_forecast,0.015954284
NO2_forecast,0.015933147
q_forecast,0.015520172
HCHO_satellite_filled,0.013680302
NO2_satellite_filled,0.013618642
wind_sector,0.012739911
wind_dir_deg,0.0125573
blh_forecast,0.012509988
T_forecast,0.012347384
