year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,NO2_satellite_filled,HCHO_satellite_filled
2024.0,5.0,5.0,0.0,7.93,69.81,20.71,11.12,-0.17,-1.87,-1.56,0.48283597883597884,0.65,0.31384338624338626
2024.0,5.0,5.0,1.0,13.16,66.96,19.11,10.73,-0.57,-0.63,-1.54,0.8353808575600692,0.6234636871508379,0.5208296296296296
2024.0,5.0,5.0,2.0,18.4,64.12,19.24,10.34,-0.97,0.61,-1.52,1.2197431403420171,0.5970204841713223,0.7282116402116402
2024.0,5.0,5.0,3.0,23.63,61.28,19.62,9.95,-1.37,1.85,-1.49,1.6390380662273611,0.5705772811918064,0.9351978835978836
2024.0,5.0,5.0,4.0,26.54,55.63,19.74,9.69,-0.4,0.55,-1.42,2.027850497476239,0.5179702048417133,1.0503661375661377
2024.0,5.0,5.0,5.0,29.45,49.99,19.25,9.43,0.58,-0.75,-1.35,2.504068686753223,0.4654562383612664,1.1655343915343914
2024.0,5.0,5.0,6.0,32.36,44.34,19.37,9.17,1.55,-2.05,-1.27,3.102107896413715,0.4128491620111732,1.2807026455026456
2024.0,5.0,5.0,7.0,32.45,45.76,19.38,8.73,1.23,-2.13,-0.87,3.0142048229548233,0.4260707635009311,1.2842645502645504
2024.0,5.0,5.0,8.0,32.53,47.18,19.41,8.3,0.91,-2.2,-0.47,2.930692155002456,0.439292364990689,1.2874306878306878
2024.0,5.0,5.0,9.0,32.62,48.6,20.65,7.86,0.58,-2.27,-0.07,2.8529342478280744,0.45251396648044695,1.2909925925925925
2024.0,5.0,5.0,10.0,32.0,48.64,20.35,8.23,1.11,-2.21,-0.23,2.7964076858813702,0.4528864059590317,1.2664550264550265
2024.0,5.0,5.0,11.0,31.38,48.67,21.6,8.59,1.63,-2.16,-0.39,2.7405369886602675,0.45316573556797024,1.2419174603174603
2024.0,5.0,5.0,12.0,30.75,48.71,21.48,8.95,2.15,-2.1,-0.55,2.683311337263298,0.45353817504655497,1.216984126984127
2024.0,5.0,5.0,13.0,31.79,48.42,18.99,8.46,2.06,-1.99,-0.6,2.7906785730676686,0.45083798882681564,1.2581439153439153
2024.0,5.0,5.0,14.0,32.83,48.13,19.46,7.96,1.98,-1.87,-0.64,2.8993396587944686,0.44813780260707636,1.2993037037037036
2024.0,5.0,5.0,15.0,33.86,47.84,17.89,7.46,1.89,-1.76,-0.68,3.008429633168763,0.4454376163873371,1.3400677248677249
2024.0,5.0,5.0,16.0,33.74,49.18,17.96,7.31,1.62,-1.95,-0.35,2.9160880213275493,0.45791433891992556,1.3353185185185186
2024.0,5.0,5.0,17.0,33.62,50.52,16.35,7.16,1.35,-2.14,-0.01,2.828644974801744,0.470391061452514,1.330569312169312
2024.0,5.0,5.0,18.0,33.5,51.86,16.37,7.01,1.08,-2.34,0.32,2.745720774490539,0.4828677839851024,1.3258201058201058
2024.0,5.0,5.0,19.0,32.92,52.05,20.08,6.84,1.18,-2.21,-0.2,2.688333647439123,0.4846368715083799,1.3028656084656085
2024.0,5.0,5.0,20.0,32.33,52.24,17.06,6.66,1.27,-2.08,-0.73,2.6305503050633217,0.4864059590316574,1.279515343915344
2024.0,5.0,5.0,21.0,31.74,52.43,15.39,6.49,1.36,-1.95,-1.25,2.5731857624224586,0.4881750465549349,1.2561650793650794
2024.0,5.0,5.0,22.0,39.5,49.13,18.34,6.45,1.67,-1.86,-1.41,3.417388916350854,0.4574487895716946,1.5632804232804234
2024.0,5.0,5.0,23.0,47.25,45.82,18.27,6.41,1.99,-1.78,-1.58,4.383195111305107,0.4266294227188082,1.87
2022.0,3.0,26.0,0.0,130.89,18.32,14.52,6.27,0.42,-0.49,-0.15,3.9579622872748805,0.16676202860858255,0.6600378201822245
2022.0,3.0,26.0,1.0,129.03,19.79,18.35,6.09,0.6,-0.94,-0.04,3.6118986582525747,0.18014304291287384,0.650658414990545
2022.0,3.0,26.0,2.0,127.16,21.25,21.55,5.91,0.78,-1.39,0.07,3.3149901192727405,0.19343302990897265,0.6412285828892328
2022.0,3.0,26.0,3.0,125.29,22.72,19.41,5.73,0.96,-1.84,0.18,3.0549122192901845,0.20681404421326394,0.6317987507879205
2022.0,3.0,26.0,4.0,117.73,23.92,18.6,5.44,0.98,-0.99,0.3,2.726569812853644,0.2177373211963589,0.5936760071056101
2022.0,3.0,26.0,5.0,110.17,25.12,17.67,5.16,0.99,-0.13,0.42,2.4295977000256905,0.2286605981794538,0.5555532634232996
2022.0,3.0,26.0,6.0,102.62,26.32,18.72,4.87,1.01,0.72,0.54,2.159915588223666,0.23958387516254875,0.5174809466506218
2022.0,3.0,26.0,7.0,109.77,25.47,17.81,5.85,0.25,0.75,1.11,2.387510953122531,0.2318465539661898,0.5535361870379921
2022.0,3.0,26.0,8.0,116.92,24.61,20.58,6.82,-0.51,0.79,1.68,2.6318906814309155,0.22401820546163848,0.5895914274253625
2022.0,3.0,26.0,9.0,124.08,23.76,22.5,7.79,-1.27,0.82,2.24,2.8929838013558142,0.21628088426527958,0.6256970947223655
2022.0,3.0,26.0,10.0,140.89,25.7,16.13,7.86,-2.45,-0.14,1.49,3.0369504014878603,0.23394018205461636,0.7104647298149103
2022.0,3.0,26.0,11.0,157.7,27.63,20.53,7.94,-3.62,-1.1,0.74,3.1618514482903315,0.2515084525357607,0.7952323649074551
2022.0,3.0,26.0,12.0,174.51,29.57,18.71,8.01,-4.8,-2.06,-0.01,3.269336682931543,0.2691677503250975,0.88
2022.0,3.0,26.0,13.0,160.09,32.53,19.19,7.91,-3.64,-1.95,0.86,2.7262821165611264,0.296111833550065,0.8072843963096671
2022.0,3.0,26.0,14.0,145.68,35.49,18.62,7.81,-2.48,-1.84,1.74,2.2739692461368413,0.3230559167750325,0.7346192195289668
2022.0,3.0,26.0,15.0,131.27,38.45,20.0,7.71,-1.33,-1.72,2.61,1.891297264995048,0.35,0.6619540427482667
2022.0,3.0,26.0,16.0,135.56,33.77,20.13,6.8,-0.92,-0.42,2.06,2.223776584407757,0.30739921976592977,0.6835871869806888
2022.0,3.0,26.0,17.0,139.86,29.08,21.01,5.88,-0.51,0.89,1.51,2.6643407987639525,0.264707412223667,0.7052707581227438
2022.0,3.0,26.0,18.0,144.16,24.4,20.89,4.97,-0.1,2.2,0.97,3.2729969508467818,0.22210663198959682,0.7269543292647986
2022.0,3.0,26.0,19.0,151.27,23.98,20.27,4.92,0.26,1.49,0.73,3.49457432317698,0.21828348504551365,0.7628078620136383
2022.0,3.0,26.0,20.0,158.38,23.57,20.69,4.86,0.63,0.79,0.49,3.7224717411500428,0.21455136540962286,0.7986613947624779
2022.0,3.0,26.0,21.0,165.5,23.15,21.75,4.81,1.0,0.09,0.25,3.960387272753538,0.2107282184655396,0.8345653544209501
2022.0,3.0,26.0,22.0,163.2,22.99,19.52,4.76,1.6,0.14,0.64,3.9325281180822564,0.20927178153446033,0.8229671652054323
2022.0,3.0,26.0,23.0,160.9,22.83,17.62,4.7,2.2,0.2,1.04,3.904278471536477,0.207815344603381,0.8113689759899146
2019.0,11.0,22.0,0.0,44.67,34.35,8.12,13.17,1.52,-0.95,2.53,2.460347029017898,0.36137221269296743,0.8891010498687664
2019.0,11.0,22.0,1.0,31.0,52.05,8.54,12.93,1.95,-0.97,2.64,1.1268033177659584,0.5475814751286449,0.6170166229221347
2019.0,11.0,22.0,2.0,17.34,69.75,9.92,12.7,2.37,-0.99,2.76,0.4703401336754364,0.7337907375643226,0.34513123359580056
2019.0,11.0,22.0,3.0,3.67,87.45,9.33,12.47,2.8,-1.01,2.88,0.07939870287953135,0.92,0.07304680664916885
2019.0,11.0,22.0,4.0,24.67,65.51,7.59,14.47,3.31,-0.94,3.39,0.7124734859762096,0.6891846769582619,0.4910258092738408
2019.0,11.0,22.0,5.0,45.66,43.57,8.37,16.47,3.83,-0.86,3.9,1.98269314148721,0.4583693539165237,0.9088057742782152
2019.0,11.0,22.0,6.0,66.66,21.63,7.73,18.48,4.34,-0.79,4.41,5.830636230886927,0.22755403087478557,1.326784776902887
2019.0,11.0,22.0,7.0,67.3,20.0,10.98,18.66,3.34,-0.16,3.57,6.366375135512952,0.21040594625500286,1.3395231846019247
2019.0,11.0,22.0,8.0,67.94,18.36,10.28,18.85,2.34,0.48,2.73,7.000999114729513,0.1931526586620926,1.3522615923009622
2019.0,11.0,22.0,9.0,68.58,16.72,10.12,19.03,1.33,1.11,1.89,7.760118707093822,0.17589937106918238,1.365
2019.0,11.0,22.0,10.0,60.33,21.63,9.49,19.43,0.91,0.54,1.79,5.276961953336459,0.22755403087478557,1.2007939632545932
