year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,O3_target,NO2_target,NO2_satellite_filled,HCHO_satellite_filled
2022.0,7.0,28.0,0.0,77.63,57.86,23.12,7.5,-2.18,0.8,0.89,0.9285407790752112,11.03,26.02,0.33499606520517144,0.3110575073727401
2022.0,7.0,28.0,1.0,93.01,60.4,24.0,7.53,-0.74,0.02,0.88,1.0657185628983177,15.4,25.15,0.34970207982012363,0.37268399794845497
2022.0,7.0,28.0,2.0,108.39,62.95,23.5,7.55,0.7,-0.76,0.88,1.1916351536270857,13.37,24.67,0.36446599213041037,0.43431048852416976
2022.0,7.0,28.0,3.0,123.77,65.49,23.85,7.57,2.14,-1.54,0.87,1.3079472383965756,31.15,42.0,0.3791720067453625,0.4959369790998846
2022.0,7.0,28.0,4.0,134.51,69.21,24.7,7.51,1.84,-1.2,0.57,1.34504107840016,24.33,47.2,0.4007099494097807,0.538971342479805
2022.0,7.0,28.0,5.0,145.25,72.92,26.3,7.45,1.54,-0.87,0.28,1.3785397892150086,22.03,55.77,0.42218999437886456,0.5820057058597257
2022.0,7.0,28.0,6.0,155.98,76.64,29.02,7.4,1.24,-0.53,-0.02,1.4085207349453757,18.65,59.1,0.4437279370432828,0.625
2022.0,7.0,28.0,7.0,147.55,80.74,28.66,7.51,0.81,0.29,0.29,1.2647372021308363,37.52,44.28,0.4674659921304103,0.5912216309783307
2022.0,7.0,28.0,8.0,139.11,84.85,29.09,7.62,0.39,1.11,0.6,1.1346353986687758,29.02,52.77,0.4912619449128724,0.5574031927170151
2022.0,7.0,28.0,9.0,130.67,88.95,28.74,7.73,-0.04,1.93,0.91,1.0166694261275717,63.1,46.0,0.515,0.5235847544556994
2022.0,7.0,28.0,10.0,116.33,73.46,32.92,7.84,0.46,0.88,0.89,1.095949716885561,44.0,48.35,0.42531646992692523,0.4661254648031799
2022.0,7.0,28.0,11.0,102.0,57.96,30.6,7.94,0.96,-0.17,0.88,1.2179280132437422,18.17,60.88,0.335575042158516,0.40870624439030645
2022.0,7.0,28.0,12.0,87.66,42.47,34.04,8.05,1.46,-1.22,0.87,1.4284631126906782,27.42,51.38,0.24589151208544124,0.3512469547377869
2022.0,7.0,28.0,13.0,84.55,40.24,32.15,7.65,1.55,-1.37,1.08,1.4541374672565581,11.82,64.45,0.23298032602585725,0.3387854212078472
2022.0,7.0,28.0,14.0,81.45,38.0,28.84,7.25,1.64,-1.51,1.29,1.4833967280437603,19.32,55.65,0.22001124227093874,0.3263639569175536
2022.0,7.0,28.0,15.0,78.34,35.77,29.71,6.85,1.73,-1.66,1.5,1.5157041921189178,17.15,52.38,0.20710005621135472,0.31390242338761387
2022.0,7.0,28.0,16.0,86.45,42.51,29.22,6.93,2.26,-2.05,0.97,1.4074199971715196,12.55,59.28,0.24612310286677908,0.3463985767406078
2022.0,7.0,28.0,17.0,94.56,49.25,28.41,7.01,2.79,-2.45,0.45,1.3287737910137847,11.45,61.12,0.28514614952220346,0.3788947300936018
2022.0,7.0,28.0,18.0,102.67,55.99,28.29,7.09,3.33,-2.84,-0.08,1.2690622313823272,6.7,59.73,0.32416919617762785,0.41139088344659575
2022.0,7.0,28.0,19.0,93.59,54.98,25.93,6.89,3.72,-2.4,0.35,1.178079330940229,6.12,52.52,0.3183215289488477,0.37500801384792926
2022.0,7.0,28.0,20.0,84.5,53.97,27.03,6.7,4.11,-1.96,0.78,1.083562871933721,7.2,45.42,0.31247386172006747,0.33858507500961665
2022.0,7.0,28.0,21.0,75.41,52.96,28.71,6.5,4.5,-1.52,1.21,0.9854413667188825,8.35,41.2,0.30662619449128725,0.302162136171304
2022.0,7.0,28.0,22.0,80.65,67.25,27.6,6.73,3.32,-1.52,0.95,0.8299690694335636,18.48,40.5,0.3893620011242271,0.3231584177458649
2022.0,7.0,28.0,23.0,85.88,81.54,26.93,6.96,2.14,-1.52,0.7,0.7289053760185683,15.43,32.55,0.472097807757167,0.3441146300807796
2024.0,5.0,23.0,0.0,33.52,15.81,9.54,16.26,3.14,0.81,0.44,18.753509867627717,50.2,36.6,0.12087444749731216,2.266820143884892
2024.0,5.0,23.0,1.0,35.2,15.33,10.29,16.02,3.21,0.99,0.64,20.310047069976108,39.12,41.78,0.11720463504957593,2.3804316546762587
2024.0,5.0,23.0,2.0,36.88,14.85,10.13,15.78,3.27,1.17,0.84,21.96720889954703,36.08,40.08,0.11353482260183968,2.494043165467626
2024.0,5.0,23.0,3.0,38.56,14.38,7.83,15.54,3.33,1.35,1.03,23.71857320819283,43.57,34.05,0.10994146458009799,2.607654676258993
2024.0,5.0,23.0,4.0,36.06,17.23,7.69,15.52,3.23,1.22,1.35,18.511894486152226,55.8,30.52,0.13173097598853184,2.438589928057554
2024.0,5.0,23.0,5.0,33.57,20.08,7.69,15.5,3.13,1.08,1.67,14.787612242128604,70.92,28.95,0.15352048739696572,2.2702014388489204
2024.0,5.0,23.0,6.0,31.07,22.93,9.71,15.48,3.02,0.94,1.99,11.985264417118723,90.0,28.98,0.1753099988053996,2.1011366906474818
2024.0,5.0,23.0,7.0,34.61,20.4,7.65,15.09,3.19,1.06,1.54,15.006584331799266,107.85,30.2,0.15596702902878987,2.3405323741007193
2024.0,5.0,23.0,8.0,38.15,17.86,9.14,14.71,3.35,1.17,1.09,18.89398251135933,123.93,28.6,0.13654760482618566,2.5799280575539565
2024.0,5.0,23.0,9.0,41.7,15.33,7.42,14.32,3.52,1.29,0.65,24.060481898238745,130.32,27.45,0.11720463504957593,2.82
2024.0,5.0,23.0,10.0,39.81,16.61,7.75,14.76,3.3,1.13,1.18,21.19985870575063,137.02,23.62,0.12699080157687254,2.692187050359712
2024.0,5.0,23.0,11.0,37.93,17.9,6.29,15.19,3.07,0.97,1.71,18.74304867418914,136.0,26.12,0.13685342253016367,2.56505035971223
2024.0,5.0,23.0,12.0,36.04,19.18,5.36,15.63,2.85,0.81,2.24,16.620596291475678,123.7,34.25,0.1466395890574603,2.4372374100719423
2024.0,5.0,23.0,13.0,32.33,24.86,6.55,15.75,2.87,0.74,2.64,11.503102816419426,112.15,40.1,0.19006570302233905,2.1863453237410067
2024.0,5.0,23.0,14.0,28.62,30.54,9.16,15.87,2.89,0.66,3.04,8.289169455202046,87.65,52.97,0.2334918169872178,1.935453237410072
2024.0,5.0,23.0,15.0,24.91,36.23,8.94,16.0,2.9,0.59,3.44,6.0815714686048565,59.12,67.62,0.276994385378091,1.6845611510791365
2024.0,5.0,23.0,16.0,16.61,52.05,9.77,16.66,2.28,0.69,2.96,2.8226648810634485,56.3,60.3,0.39794528730139767,1.1232661870503595
2024.0,5.0,23.0,17.0,8.3,67.88,11.96,17.32,1.66,0.8,2.49,1.081550195170911,48.15,53.9,0.5189726436506988,0.561294964028777
2024.0,5.0,23.0,18.0,0.0,83.71,13.19,17.98,1.04,0.9,2.02,0.0,30.25,60.7,0.64,0.0
2024.0,5.0,23.0,19.0,3.91,79.12,11.18,17.39,1.5,0.8,2.03,0.43712022387903615,43.38,49.67,0.6049074184685224,0.2644172661870503
2024.0,5.0,23.0,20.0,7.81,74.53,10.19,16.8,1.95,0.7,2.04,0.9268945614339064,46.8,34.45,0.5698148369370446,0.5281582733812948
2024.0,5.0,23.0,21.0,11.72,69.94,6.07,16.21,2.41,0.6,2.04,1.4822190988987478,73.63,26.6,0.5347222554055668,0.7925755395683454
2024.0,5.0,23.0,22.0,11.75,64.48,7.14,15.86,2.44,0.63,2.14,1.6118449358844185,63.78,26.03,0.4929781388125673,0.7946043165467624
2024.0,5.0,23.0,23.0,11.78,59.02,7.32,15.51,2.48,0.66,2.23,1.7654544079070864,63.85,22.45,0.4512340222195676,0.7966330935251797
