year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,NO2_satellite_filled,HCHO_satellite_filled
2024.0,5.0,5.0,0.0,7.93,69.81,20.71,11.12,-0.17,-1.87,-1.56,0.6634556878306878,0.64,0.42461164021164016
2024.0,5.0,5.0,1.0,13.16,66.96,19.11,10.73,-0.57,-0.63,-1.54,1.1478808658568964,0.6138719381177481,0.7046518518518518
2024.0,5.0,5.0,2.0,18.4,64.12,19.24,10.34,-0.97,0.61,-1.52,1.6760257305251063,0.5878355536456096,0.9852275132275131
2024.0,5.0,5.0,3.0,23.63,61.28,19.62,9.95,-1.37,1.85,-1.49,2.252170872251751,0.5617991691734708,1.2652677248677247
2024.0,5.0,5.0,4.0,26.54,55.63,19.74,9.69,-0.4,0.55,-1.42,2.7864306008520012,0.510001432459533,1.4210835978835978
2024.0,5.0,5.0,5.0,29.45,49.99,19.25,9.43,0.58,-0.75,-1.35,3.4407929105662394,0.4582953731557084,1.5768994708994706
2024.0,5.0,5.0,6.0,32.36,44.34,19.37,9.17,1.55,-2.05,-1.27,4.262547155458183,0.40649763644177056,1.7327153439153438
2024.0,5.0,5.0,7.0,32.45,45.76,19.38,8.73,1.23,-2.13,-0.87,4.141761222718254,0.4195158286778398,1.7375343915343915
2024.0,5.0,5.0,8.0,32.53,47.18,19.41,8.3,0.91,-2.2,-0.47,4.027008062250617,0.4325340209139092,1.7418179894179893
2024.0,5.0,5.0,9.0,32.62,48.6,20.65,7.86,0.58,-2.27,-0.07,3.9201624085505253,0.4455522131499785,1.7466370370370368
2024.0,5.0,5.0,10.0,32.0,48.64,20.35,8.23,1.11,-2.21,-0.23,3.842490340434419,0.44591892279043116,1.7134391534391533
2024.0,5.0,5.0,11.0,31.38,48.67,21.6,8.59,1.63,-2.16,-0.39,3.7657194834991725,0.4461939550207707,1.6802412698412696
2024.0,5.0,5.0,12.0,30.75,48.71,21.48,8.95,2.15,-2.1,-0.55,3.6870868099344025,0.44656066466122335,1.6465079365079365
2024.0,5.0,5.0,13.0,31.79,48.42,18.99,8.46,2.06,-1.99,-0.6,3.8346180760442685,0.4439020197679415,1.7021947089947087
2024.0,5.0,5.0,14.0,32.83,48.13,19.46,7.96,1.98,-1.87,-0.64,3.983927196597178,0.4412433748746598,1.7578814814814812
