year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,O3_target,NO2_target,NO2_satellite_filled,HCHO_satellite_filled
2022.0,7.0,28.0,0.0,73.35,57.54,22.99,7.68,-3.46,1.28,1.02,2.5804791802580223,5.03,6.75,0.22773087071240106,0.5876547705753823
2022.0,7.0,28.0,1.0,82.77,57.25,23.9,7.7,-1.35,0.29,0.99,2.9266282675555075,5.08,6.07,0.22658311345646437,0.6631245447924253
2022.0,7.0,28.0,2.0,92.19,56.97,23.89,7.72,0.76,-0.7,0.96,3.2757269545911702,6.95,3.38,0.22547493403693933,0.7385943190094683
2022.0,7.0,28.0,3.0,101.62,56.68,23.92,7.74,2.87,-1.69,0.93,3.6292714125959487,5.8,4.85,0.22432717678100264,0.8141442097596505
2022.0,7.0,28.0,4.0,113.51,64.06,25.55,7.81,2.45,-1.15,0.66,3.586883639753548,7.22,7.72,0.2535356200527704,0.9094027676620539
2022.0,7.0,28.0,5.0,125.41,71.44,26.54,7.88,2.03,-0.61,0.39,3.5535368286206523,9.88,6.93,0.2827440633245382,1.0047414420975964
2022.0,7.0,28.0,6.0,137.3,78.83,29.45,7.95,1.6,-0.07,0.13,3.525730474861517,12.53,6.0,0.31199208443271764,1.1
2022.0,7.0,28.0,7.0,134.39,85.4,28.98,7.86,0.9,0.44,0.17,3.1855115353366155,16.88,6.8,0.33799472295514515,1.0766860888565184
2022.0,7.0,28.0,8.0,131.48,91.97,29.62,7.78,0.19,0.96,0.21,2.893900586084165,18.77,8.18,0.36399736147757256,1.053372177713037
2022.0,7.0,28.0,9.0,128.57,98.54,29.04,7.69,-0.52,1.47,0.25,2.64117504248604,30.02,7.0,0.39,1.0300582665695557
2022.0,7.0,28.0,10.0,114.03,78.39,30.81,7.64,0.27,0.59,0.43,2.944615261972395,17.07,5.1,0.31025065963060683,0.9135688273852877
2022.0,7.0,28.0,11.0,99.49,58.24,31.27,7.59,1.05,-0.29,0.61,3.4580252761926102,12.58,6.82,0.23050131926121373,0.7970793882010196
2022.0,7.0,28.0,12.0,84.95,38.09,32.34,7.54,1.84,-1.17,0.79,4.514633598973464,11.17,10.78,0.1507519788918206,0.6805899490167516
2022.0,7.0,28.0,13.0,86.94,36.03,32.31,7.4,1.94,-1.39,0.94,4.8845602687248375,7.4,7.58,0.142598944591029,0.6965331391114349
2022.0,7.0,28.0,14.0,88.93,33.97,25.62,7.26,2.05,-1.62,1.1,5.2993529343365475,6.35,7.18,0.13444591029023745,0.712476329206118
2022.0,7.0,28.0,15.0,90.92,31.91,29.88,7.12,2.15,-1.85,1.25,5.767700779588502,4.03,14.32,0.1262928759894459,0.7284195193008012
2022.0,7.0,28.0,16.0,94.72,37.47,28.41,7.11,2.67,-2.19,0.82,5.117149380263294,3.7,16.7,0.1482981530343008,0.7588638018936635
2022.0,7.0,28.0,17.0,98.52,43.02,29.18,7.1,3.18,-2.53,0.39,4.635793646682059,3.53,15.65,0.17026385224274407,0.7893080844865258
2022.0,7.0,28.0,18.0,102.32,48.57,28.27,7.09,3.7,-2.87,-0.04,4.264445091250952,4.8,10.48,0.19222955145118734,0.8197523670793881
2022.0,7.0,28.0,19.0,94.58,48.37,26.29,6.97,4.06,-2.45,0.42,3.958159776622732,4.95,11.18,0.19143799472295514,0.7577421704297159
2022.0,7.0,28.0,20.0,86.84,48.17,27.09,6.85,4.43,-2.03,0.87,3.6493310921408426,4.0,10.15,0.19064643799472294,0.6957319737800437
2022.0,7.0,28.0,21.0,79.1,47.96,29.61,6.73,4.8,-1.61,1.32,3.338623207289557,8.57,11.6,0.18981530343007916,0.6337217771303714
2022.0,7.0,28.0,22.0,77.48,63.93,27.46,6.7,3.61,-1.47,1.0,2.453324559473754,4.98,11.83,0.25302110817941953,0.6207428987618354
2022.0,7.0,28.0,23.0,75.85,79.89,27.34,6.68,2.41,-1.33,0.67,1.9219109572579023,3.88,5.97,0.31618733509234825,0.6076839038601601
2024.0,5.0,23.0,0.0,34.13,14.34,9.6,16.12,2.99,0.53,-0.84,22.526160327902513,54.48,14.68,0.10132762738853503,2.282522380200106
2024.0,5.0,23.0,1.0,35.41,14.45,10.43,15.86,2.98,0.7,-0.72,23.19306331400525,39.33,22.68,0.10210489649681528,2.36812532912059
2024.0,5.0,23.0,2.0,36.7,14.57,10.19,15.6,2.98,0.88,-0.59,23.840016210472008,39.67,22.0,0.10295282643312101,2.454397051079516
2024.0,5.0,23.0,3.0,37.98,14.69,8.04,15.33,2.97,1.05,-0.47,24.46995656717706,46.92,17.8,0.10380075636942675,2.54
2024.0,5.0,23.0,4.0,31.84,21.11,8.96,15.91,2.67,0.94,-0.41,14.27528737130228,55.25,20.82,0.14916500796178342,2.129373354397051
2024.0,5.0,23.0,5.0,25.7,27.54,7.64,16.49,2.36,0.82,-0.35,8.832206639235704,70.65,18.55,0.1945999203821656,1.7187467087941022
2024.0,5.0,23.0,6.0,19.56,33.96,9.06,17.07,2.06,0.71,-0.3,5.451314054208227,83.95,17.52,0.23996417197452227,1.3081200631911534
2024.0,5.0,23.0,7.0,20.42,31.97,6.84,16.48,2.19,1.01,-0.55,6.045234265886109,86.65,15.3,0.22590266719745222,1.365634544497104
2024.0,5.0,23.0,8.0,21.29,29.98,8.07,15.89,2.32,1.31,-0.81,6.721157411400721,90.17,13.38,0.21184116242038215,1.4238177988414955
2024.0,5.0,23.0,9.0,22.15,27.99,7.35,15.3,2.44,1.61,-1.07,7.489811125161169,97.45,12.28,0.19777965764331207,1.481332280147446
2024.0,5.0,23.0,10.0,19.95,31.76,7.57,15.88,2.29,1.27,-0.59,5.945144846500503,102.17,12.57,0.2244187898089172,1.3342022116903636
2024.0,5.0,23.0,11.0,17.76,35.53,6.42,16.46,2.14,0.94,-0.12,4.730943787514723,108.92,10.9,0.25105792197452226,1.187740916271722
2024.0,5.0,23.0,12.0,15.56,39.3,5.39,17.03,1.99,0.61,0.35,3.7472880331295912,108.97,13.3,0.27769705414012735,1.0406108478146394
2024.0,5.0,23.0,13.0,10.58,48.97,6.86,17.26,1.89,0.65,0.54,2.0448224169132,103.7,17.73,0.3460260748407643,0.7075618746708795
2024.0,5.0,23.0,14.0,5.6,58.63,6.82,17.49,1.78,0.69,0.72,0.9039994509719577,84.57,29.22,0.4142844347133758,0.3745129015271195
2024.0,5.0,23.0,15.0,0.62,68.3,8.47,17.72,1.68,0.73,0.91,0.08591540065493947,72.45,32.73,0.4826134554140127,0.04146392838335967
2024.0,5.0,23.0,16.0,3.95,76.29,8.4,17.9,1.23,0.75,0.54,0.4900377245927646,56.62,42.27,0.5390714570063694,0.2641653501843076
2024.0,5.0,23.0,17.0,7.28,84.28,11.04,18.09,0.78,0.77,0.17,0.8175360008736551,40.55,54.97,0.5955294585987261,0.48686677198525546
2024.0,5.0,23.0,18.0,10.61,92.27,12.29,18.28,0.33,0.79,-0.21,1.088315707142964,39.97,34.67,0.6519874601910827,0.7095681937862033
2024.0,5.0,23.0,19.0,7.79,95.0,10.29,18.3,0.47,0.67,-0.37,0.7760932143678291,34.03,38.75,0.6712778662420381,0.520974196945761
2024.0,5.0,23.0,20.0,4.96,97.74,9.77,18.32,0.62,0.55,-0.52,0.480296448924278,41.15,38.42,0.690638933121019,0.33171142706687734
2024.0,5.0,23.0,21.0,2.14,100.48,5.95,18.34,0.77,0.43,-0.68,0.20157384538934509,68.2,28.95,0.71,0.143117430226435
2024.0,5.0,23.0,22.0,5.96,83.39,7.35,17.65,1.23,0.49,-0.58,0.6764447333323965,59.9,18.67,0.5892406449044586,0.39858873091100583
2024.0,5.0,23.0,23.0,9.78,66.3,6.96,16.96,1.68,0.56,-0.48,1.3961283957836457,53.92,15.95,0.4684812898089171,0.6540600315955767
