year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,NO2_satellite_filled,HCHO_satellite_filled
2022.0,3.0,26.0,0.0,133.99,4.62,15.36,5.72,-0.86,-2.04,0.16,8.259281144522367,0.051536523929471036,0.42565464034490585
2022.0,3.0,26.0,1.0,134.52,4.35,18.81,5.57,-0.76,-1.97,0.32,8.806623702356427,0.04852464915437207,0.4273383253914228
2022.0,3.0,26.0,2.0,135.04,4.07,21.69,5.43,-0.67,-1.89,0.49,9.448869657833402,0.04540122346167687,0.42899024279555253
2022.0,3.0,26.0,3.0,135.57,3.8,20.0,5.29,-0.58,-1.82,0.65,10.159956243405018,0.042389348686577906,0.4306739278420695
2022.0,3.0,26.0,4.0,133.06,11.79,19.24,5.3,-0.36,-0.69,-0.55,3.2139976296108554,0.13151853184598777,0.42270024960290453
2022.0,3.0,26.0,5.0,130.56,19.79,18.55,5.31,-0.14,0.44,-1.76,1.8787811115063422,0.22075926592299389,0.41475833900612663
2022.0,3.0,26.0,6.0,128.05,27.79,19.92,5.32,0.07,1.57,-2.96,1.3122085831192314,0.31,0.40678466076696174
2022.0,3.0,26.0,7.0,128.89,19.81,19.43,6.27,-0.41,1.27,-1.28,1.852876982364176,0.2209823677581864,0.40945314272747896
2022.0,3.0,26.0,8.0,129.73,11.82,21.9,7.22,-0.9,0.96,0.41,3.1256099421645707,0.13185318459877654,0.4121216246879964
2022.0,3.0,26.0,9.0,130.56,3.84,23.08,8.16,-1.38,0.66,2.09,9.682572447060029,0.04283555235696294,0.41475833900612663
2022.0,3.0,26.0,10.0,145.8,4.4,17.43,7.72,-2.61,-0.47,1.03,9.43662475121225,0.04908240374235337,0.46317222600408453
2022.0,3.0,26.0,11.0,161.04,4.96,19.22,7.28,-3.83,-1.61,-0.03,9.246213631846224,0.055329255127743796,0.5115861130020423
2022.0,3.0,26.0,12.0,176.28,5.52,19.21,6.85,-5.06,-2.74,-1.09,9.094436652641424,0.061576106513134214,0.56
2022.0,3.0,26.0,13.0,161.7,6.19,19.69,6.92,-2.88,-2.48,-0.52,7.439285207115873,0.06905001799208349,0.5136827773995916
2022.0,3.0,26.0,14.0,147.13,6.86,19.74,6.99,-0.7,-2.22,0.06,6.107858361069894,0.07652392947103275,0.46739732244157023
2022.0,3.0,26.0,15.0,132.55,7.53,20.74,7.06,1.48,-1.95,0.63,5.01298718013361,0.08399784094998201,0.42108009984116185
2022.0,3.0,26.0,16.0,140.66,6.52,22.24,6.22,1.12,-0.69,0.08,6.143768677388415,0.07273119827275998,0.44684365781710916
2022.0,3.0,26.0,17.0,148.76,5.51,22.59,5.37,0.75,0.58,-0.46,7.688584804231078,0.06146455559553796,0.47257544815066943
2022.0,3.0,26.0,18.0,156.87,4.5,20.6,4.53,0.39,1.85,-1.01,9.927484573662136,0.05019791291831594,0.4983390061266168
2022.0,3.0,26.0,19.0,162.7,4.8,21.05,4.46,1.08,1.28,-0.82,9.6529077030433,0.05354444044620367,0.5168595416383027
2022.0,3.0,26.0,20.0,168.52,5.1,21.7,4.38,1.77,0.71,-0.64,9.410075598492252,0.05689096797409139,0.5353483095076016
2022.0,3.0,26.0,21.0,174.35,5.39,24.63,4.31,2.47,0.14,-0.45,9.211811121602729,0.06012594458438287,0.5538688450192875
2022.0,3.0,26.0,22.0,170.13,5.63,19.73,4.4,2.46,0.04,-0.35,8.605663203522742,0.06280316660669305,0.5404628999319265
2022.0,3.0,26.0,23.0,165.92,5.86,16.71,4.49,2.45,-0.05,-0.26,8.063302652159205,0.06536883771140699,0.5270887224869526
2019.0,11.0,22.0,0.0,64.6,10.48,8.36,14.37,2.84,-1.14,2.95,9.210501522670398,0.13618428824571768,1.2543255942509672
2019.0,11.0,22.0,1.0,49.72,23.91,9.25,13.9,3.1,-1.16,2.89,3.1071597840529215,0.3107028942705257,0.9654035378662245
2019.0,11.0,22.0,2.0,34.84,37.35,9.85,13.43,3.36,-1.18,2.83,1.3937971865013365,0.4853514471352629,0.6764814814814816
2019.0,11.0,22.0,3.0,19.96,50.79,9.17,12.96,3.62,-1.2,2.78,0.5872112501465736,0.66,0.3875594250967386
2019.0,11.0,22.0,4.0,36.86,39.54,7.84,13.94,4.02,-0.99,3.09,1.3929345454916577,0.5138098050797401,0.7157034273079049
2019.0,11.0,22.0,5.0,53.75,28.3,8.22,14.92,4.42,-0.79,3.41,2.837945666028639,0.36774955699940937,1.0436532614704257
2019.0,11.0,22.0,6.0,70.64,17.05,7.21,15.91,4.82,-0.59,3.73,6.190679927770136,0.22155936207914947,1.3716030956329464
2019.0,11.0,22.0,7.0,71.22,15.71,10.4,16.79,4.39,-0.21,3.12,6.773885128971964,0.2041464855286474,1.3828648424543948
2019.0,11.0,22.0,8.0,71.79,14.36,10.78,17.67,3.95,0.17,2.52,7.470016425480011,0.1866036621382162,1.3939324212271975
2019.0,11.0,22.0,9.0,72.36,13.01,9.97,18.56,3.51,0.55,1.92,8.310617706659212,0.16906083874778502,1.405
2019.0,11.0,22.0,10.0,64.22,14.8,9.27,18.94,2.63,0.19,2.11,6.483665920839427,0.19232132309509747,1.2469472084024322
