year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,O3_target,NO2_target,NO2_satellite_filled,HCHO_satellite_filled
2022.0,7.0,28.0,0.0,73.35,57.54,22.99,7.68,-3.46,1.28,1.02,3.1081437897204967,21.28,26.75,0.2131327379744266,0.6624471959213399
2022.0,7.0,28.0,1.0,82.77,57.25,23.9,7.7,-1.35,0.29,0.99,3.5250745459273807,11.97,25.58,0.2120585549015628,0.747522214129643
2022.0,7.0,28.0,2.0,92.19,56.97,23.89,7.72,0.76,-0.7,0.96,3.945558045430361,11.95,23.4,0.21102141262431498,0.8325972323379459
2022.0,7.0,28.0,3.0,101.62,56.68,23.92,7.74,2.87,-1.69,0.93,4.371396401323539,15.3,18.8,0.20994722955145118,0.9177625637290605
2022.0,7.0,28.0,4.0,113.51,64.06,25.55,7.81,2.45,-1.15,0.66,4.320341041556205,17.15,21.03,0.23728333671605437,1.0251449380917699
2022.0,7.0,28.0,5.0,125.41,71.44,26.54,7.88,2.03,-0.61,0.39,4.280175368171724,38.78,27.55,0.26461944388065756,1.1326176256372904
2022.0,7.0,28.0,6.0,137.3,78.83,29.45,7.95,1.6,-0.07,0.13,4.246683082548018,58.83,26.3,0.2919925918408768,1.24
2022.0,7.0,28.0,7.0,134.39,85.4,28.98,7.86,0.9,0.44,0.17,3.836895089635834,41.1,22.8,0.31632839456058454,1.2137188638018934
2022.0,7.0,28.0,8.0,131.48,91.97,29.62,7.78,0.19,0.96,0.21,3.485654603811463,55.27,23.15,0.34066419728029224,1.187437727603787
2022.0,7.0,28.0,9.0,128.57,98.54,29.04,7.69,-0.52,1.47,0.25,3.1812509353580296,88.88,14.85,0.365,1.1611565914056807
2022.0,7.0,28.0,10.0,114.03,78.39,30.81,7.64,0.27,0.59,0.43,3.5467395783059774,73.45,14.15,0.2903627968337731,1.0298412235979606
2022.0,7.0,28.0,11.0,99.49,58.24,31.27,7.59,1.05,-0.29,0.61,4.165133309008085,43.72,19.2,0.21572559366754618,0.8985258557902402
2022.0,7.0,28.0,12.0,84.95,38.09,32.34,7.54,1.84,-1.17,0.79,5.43780027014587,29.22,33.7,0.14108839050131927,0.76721048798252
2022.0,7.0,28.0,13.0,86.94,36.03,32.31,7.4,1.94,-1.39,0.94,5.883370724670812,19.25,32.8,0.1334579866044246,0.785182811361981
2022.0,7.0,28.0,14.0,88.93,33.97,25.62,7.26,2.05,-1.62,1.1,6.382981516924419,22.05,23.5,0.12582758270752992,0.8031551347414421
2022.0,7.0,28.0,15.0,90.92,31.91,29.88,7.12,2.15,-1.85,1.25,6.94709862268742,15.52,27.08,0.11819717881063527,0.821127458120903
2022.0,7.0,28.0,16.0,94.72,37.47,28.41,7.11,2.67,-2.19,0.82,6.163520399241168,11.08,33.1,0.13879186117312767,0.8554464675892206
2022.0,7.0,28.0,17.0,98.52,43.02,29.18,7.1,3.18,-2.53,0.39,5.583735510673582,7.23,43.0,0.15934950274000406,0.8897654770575381
2022.0,7.0,28.0,18.0,102.32,48.57,28.27,7.09,3.7,-2.87,-0.04,5.13645241875208,6.68,45.22,0.17990714430688043,0.9240844865258556
2022.0,7.0,28.0,19.0,94.58,48.37,26.29,6.97,4.06,-2.45,0.42,4.7675369065373685,6.8,41.03,0.17916632839456056,0.8541820830298615
2022.0,7.0,28.0,20.0,86.84,48.17,27.09,6.85,4.43,-2.03,0.87,4.3955579480929305,5.3,36.07,0.1784255124822407,0.7842796795338675
2022.0,7.0,28.0,21.0,79.1,47.96,29.61,6.73,4.8,-1.61,1.32,4.021315524396588,13.42,35.7,0.17764765577430483,0.7143772760378732
2022.0,7.0,28.0,22.0,77.48,63.93,27.46,6.7,3.61,-1.47,1.0,2.95498818670363,10.12,33.78,0.23680180637304646,0.6997465404224327
2022.0,7.0,28.0,23.0,75.85,79.89,27.34,6.68,2.41,-1.33,0.67,2.3149094369362926,8.2,31.53,0.29591891617617205,0.6850254916241805
2024.0,5.0,23.0,0.0,34.13,14.34,9.6,16.12,2.99,0.53,-0.84,15.14607438944626,28.75,22.12,0.10560907643312102,1.599562927856767
