feature,importance
solar_elevation,0.14083986
sin_hour,0.12916823
solar_declination_deg,0.08212214
SZA_deg,0.078019835
hour_angle_deg,0.06180811
EoT_min,0.049793504
cosSZA,0.036053285
solar_time_hr,0.03370818
w_forecast,0.030466594
NO2_satellite_filled,0.029908845
HCHO_satellite_filled,0.023635564
q_forecast,0.02361546
NO2_forecast,0.02347361
NO2_forecast_per_blh,0.02254257
ratio_satellite,0.021783782
O3_forecast,0.021357689
blh_forecast,0.019988824
T_forecast,0.018779023
u_forecast,0.017887378
O3_forecast_per_blh,0.017428914
