feature,importance
NO2_target_lag1,0.28146794
NO2_roll3,0.09876831
NO2_target_lag2,0.07086005
O3_target_lag6,0.030646695
O3_target_lag3,0.029439379
solar_elevation,0.028453331
hour_cos,0.026420014
cos_hour,0.02497293
SZA_deg,0.021773648
solar_time_hr,0.020395797
NO2_roll6,0.019116078
hour_angle_deg,0.017956562
cosSZA,0.017907161
O3_roll6,0.01776954
hour_sin,0.016818022
sin_hour,0.015512066
NO2_target_lag3,0.014205291
season,0.01322487
NO2_target_lag12,0.011750553
solar_declination_deg,0.011168147
